AverageTemperature,City,Country,Month,Year
26.143,2,Mexico,5,1918
26.517,2,Mexico,6,1918
27.023,2,Mexico,7,1918
26.657,2,Mexico,8,1918
26.772,2,Mexico,9,1918
27.473,2,Mexico,10,1918
27.039,2,Mexico,11,1918
26.208,2,Mexico,12,1918
23.738,2,Mexico,1,1919
24.996,2,Mexico,2,1919
23.821,2,Mexico,3,1919
24.288,2,Mexico,4,1919
26.784,2,Mexico,5,1919
27.37,2,Mexico,6,1919
27.222,2,Mexico,7,1919
27.933,2,Mexico,8,1919
27.121,2,Mexico,9,1919
27.804,2,Mexico,10,1919
27.036,2,Mexico,11,1919
26.415,2,Mexico,12,1919
25.014,2,Mexico,1,1920
25.508,2,Mexico,2,1920
25.18,2,Mexico,3,1920
25.506,2,Mexico,4,1920
25.391,2,Mexico,5,1920
26.408,2,Mexico,6,1920
27.66,2,Mexico,7,1920
27.233,2,Mexico,8,1920
27.12,2,Mexico,9,1920
26.804,2,Mexico,10,1920
